core cycles iteration
0 37984 1
0 37824 2
0 37886 3
0 37960 4
0 37722 5
0 37850 6
0 37814 7
0 37910 8
0 37818 9
0 37906 10
0 36602 11
0 37918 12
0 37712 13
0 38230 14
0 36248 15
0 38170 16
0 37814 17
0 38006 18
0 38062 19
0 37982 20
0 38108 21
0 37960 22
0 37696 23
0 37906 24
0 37952 25
0 38028 26
0 38010 27
0 38012 28
0 36424 29
0 37920 30
0 38104 31
0 38100 32
0 37874 33
0 38160 34
0 37828 35
0 37976 36
0 37688 37
0 37954 38
0 38194 39
0 38288 40
0 37920 41
0 37940 42
0 37906 43
0 37878 44
0 37746 45
0 37798 46
0 37940 47
0 37912 48
0 37988 49
0 37862 50
0 38030 51
0 37904 52
0 38112 53
0 37860 54
0 38130 55
0 38108 56
0 38144 57
0 36620 58
0 38260 59
0 37850 60
0 38052 61
0 37934 62
0 37944 63
0 36450 64
0 38036 65
0 38028 66
0 37790 67
0 37976 68
0 37934 69
0 39010 70
0 37928 71
0 38164 72
0 37990 73
0 38090 74
0 38020 75
0 38048 76
0 38084 77
0 37798 78
0 37860 79
0 37844 80
0 38284 81
0 44528 82
0 37878 83
0 38138 84
0 38052 85
0 38002 86
0 36394 87
0 37948 88
0 37890 89
0 37874 90
0 38110 91
0 38084 92
0 36632 93
0 37810 94
0 37844 95
0 38072 96
0 37972 97
0 38050 98
0 37940 99
0 38322 100
0 38174 101
0 38292 102
0 38000 103
0 37958 104
0 37766 105
0 38118 106
0 37828 107
0 37802 108
0 37970 109
0 38048 110
0 37972 111
0 38006 112
0 37838 113
0 37942 114
0 38036 115
0 38034 116
0 37812 117
0 38080 118
0 38216 119
0 37850 120
0 37894 121
0 38138 122
0 37972 123
0 37898 124
0 38072 125
0 37804 126
0 38088 127
0 37922 128
0 37986 129
0 37866 130
0 37928 131
0 37904 132
0 37826 133
0 37972 134
0 38042 135
0 38054 136
0 37814 137
0 37970 138
0 37808 139
0 37962 140
0 37866 141
0 37984 142
0 37904 143
0 37952 144
0 37954 145
0 38140 146
0 37900 147
0 38068 148
0 38072 149
0 37956 150
0 38024 151
0 38032 152
0 38234 153
0 36466 154
0 38016 155
0 38212 156
0 37850 157
0 38288 158
0 38010 159
0 38012 160
0 38004 161
0 37998 162
0 38192 163
0 37992 164
0 36488 165
0 38356 166
0 37972 167
0 38942 168
0 37832 169
0 38036 170
0 38360 171
0 38044 172
0 38094 173
0 38590 174
0 37910 175
0 37982 176
0 37886 177
0 38040 178
0 37970 179
0 38072 180
0 37952 181
0 38142 182
0 36482 183
0 37848 184
0 38048 185
0 37838 186
0 38252 187
0 38190 188
0 38350 189
0 37982 190
0 38096 191
0 37900 192
0 37958 193
0 37706 194
0 37948 195
0 38036 196
0 37914 197
0 39166 198
0 37938 199
0 38108 200
0 36356 201
0 37834 202
0 38180 203
0 38076 204
